A39,"English Opening: Symmetrical Variation, Mecking Variation",Pc2c4 Ng8f6 Ng1f3 Pc7c5 Nb1c3 Nb8c6 Pg2g3 Pg7g6 Bf1g2 Bf8g7 O-O O-O Pd2d4
A12,"Réti Opening: Anglo-Slav Variation, Capablanca Variation",Pc2c4 Ng8f6 Ng1f3 Pc7c6 Pb2b3 Pd7d5 Bc1b2 Bc8g4
A15,"English Opening: Anglo-Indian Defense, Scandinavian Defense",Pc2c4 Ng8f6 Ng1f3 Pd7d5
A15,"English Opening: Anglo-Indian Defense, Scandinavian Defense, Exchange Variation",Pc2c4 Ng8f6 Ng1f3 Pd7d5 Pc4xd5 Nf6xd5
A15,"English Opening: Anglo-Indian Defense, Old Indian Formation",Pc2c4 Ng8f6 Ng1f3 Pd7d6
A13,English Opening: Romanishin Gambit,Pc2c4 Ng8f6 Ng1f3 Pe7e6 Pg2g3 Pa7a6 Bf1g2 Pb7b5
A15,"English Opening: Anglo-Indian Defense, King's Indian Formation",Pc2c4 Ng8f6 Ng1f3 Pg7g6
A38,"English Opening: Symmetrical Variation, Duchamp Variation",Pc2c4 Ng8f6 Ng1f3 Pg7g6 Pg2g3 Bf8g7 Bf1g2 O-O O-O Pc7c5 Nb1c3 Nb8c6 Pd2d3
A15,"English Opening: Anglo-Indian Defense, King's Indian Formation, Double Fianchetto",Pc2c4 Ng8f6 Ng1f3 Pg7g6 Pg2g3 Pb7b6 Bf1g2 Bc8b7
A15,"English Opening: Anglo-Indian Defense, Slav Formation",Pc2c4 Ng8f6 Ng1f3 Pg7g6 Pg2g3 Pc7c6
A15,"English Opening: Anglo-Indian Defense, Grünfeld Formation",Pc2c4 Ng8f6 Ng1f3 Pg7g6 Pg2g3 Pd7d5
A15,English Orangutan,Pc2c4 Ng8f6 Pb2b4
A31,"English Opening: Symmetrical Variation, Anti-Benoni Variation",Pc2c4 Ng8f6 Pd2d4 Pc7c5 Ng1f3
A10,English Opening: Achilles-Omega Gambit,Pc2c4 Ng8f6 Pe2e4
A12,"Réti Opening: Anglo-Slav Variation, London Defensive System",Pc2c4 Ng8f6 Pg2g3 Pc7c6 Ng1f3 Pd7d5 Pb2b3 Bc8f5
A12,"Réti Opening: Anglo-Slav Variation, Torre System",Pc2c4 Ng8f6 Pg2g3 Pc7c6 Ng1f3 Pd7d5 Pb2b3 Bc8g4
A10,English Opening: Jaenisch Gambit,Pc2c4 Pb7b5
A30,English Opening: Symmetrical Variation,Pc2c4 Pc7c5
A34,"English Opening: Symmetrical Variation, Normal Variation",Pc2c4 Pc7c5 Nb1c3
A35,"English Opening: Symmetrical Variation, Two Knights Variation",Pc2c4 Pc7c5 Nb1c3 Nb8c6
A36,"English Opening: Symmetrical Variation, Two Knights, Fianchetto Variation",Pc2c4 Pc7c5 Nb1c3 Nb8c6 Pg2g3
A37,"English Opening: Symmetrical Variation, Three Knights, Fianchetto Variation",Pc2c4 Pc7c5 Nb1c3 Nb8c6 Pg2g3 Pg7g6 Bf1g2 Bf8g7 Ng1f3
A38,"English Opening: Symmetrical Variation, Double Fianchetto",Pc2c4 Pc7c5 Nb1c3 Nb8c6 Pg2g3 Pg7g6 Bf1g2 Bf8g7 Ng1f3 Ng8f6 O-O O-O Pb2b3
A37,"English Opening: Symmetrical Variation, Botvinnik System Reversed, with Nf3",Pc2c4 Pc7c5 Nb1c3 Nb8c6 Pg2g3 Pg7g6 Bf1g2 Bf8g7 Ng1f3 Pe7e5
A36,"English Opening: Symmetrical Variation, Botvinnik System Reversed, with e3",Pc2c4 Pc7c5 Nb1c3 Nb8c6 Pg2g3 Pg7g6 Bf1g2 Bf8g7 Pe2e3 Pe7e5
A34,"English Opening: Symmetrical Variation, Three Knights Variation",Pc2c4 Pc7c5 Nb1c3 Ng8f6 Ng1f3
A30,English Opening: Symmetrical Variation,Pc2c4 Pc7c5 Ng1f3
A30,"English Opening: Symmetrical Variation, Napolitano Gambit",Pc2c4 Pc7c5 Ng1f3 Ng8f6 Pb2b4
A30,English Opening: Wing Gambit,Pc2c4 Pc7c5 Pb2b4
A36,"English Opening: Symmetrical Variation, Botvinnik System",Pc2c4 Pc7c5 Pe2e4 Nb8c6 Nb1c3 Pg7g6 Pg2g3 Bf8g7 Bf1g2
A36,"English Opening: Symmetrical Variation, Ultra-Symmetrical Variation",Pc2c4 Pc7c5 Pg2g3 Pg7g6 Bf1g2 Bf8g7 Nb1c3 Nb8c6
A11,English Opening: Caro-Kann Defensive System,Pc2c4 Pc7c6
A10,English Opening: Anglo-Scandinavian Defense,Pc2c4 Pd7d5
A10,"English Opening: Anglo-Scandinavian Defense, Schulz Gambit",Pc2c4 Pd7d5 Pc4xd5 Ng8f6
A10,"English Opening: Anglo-Scandinavian Defense, Löhn Gambit",Pc2c4 Pd7d5 Pc4xd5 Pe7e6
A10,"English Opening: Anglo-Scandinavian Defense, Malvinas Variation",Pc2c4 Pd7d5 Pc4xd5 Qd8xd5 Nb1c3 Qd5a5
A20,English Opening: King's English Variation,Pc2c4 Pe7e5
A21,"English Opening: King's English Variation, Reversed Sicilian",Pc2c4 Pe7e5 Nb1c3
A21,"English Opening: King's English Variation, Kramnik-Shirov Counterattack",Pc2c4 Pe7e5 Nb1c3 Bf8b4
A25,"English Opening: King's English Variation, Reversed Closed Sicilian",Pc2c4 Pe7e5 Nb1c3 Nb8c6
A27,"English Opening: King's English Variation, Three Knights System",Pc2c4 Pe7e5 Nb1c3 Nb8c6 Ng1f3
A21,"English Opening: King's English Variation, Troger Defense",Pc2c4 Pe7e5 Nb1c3 Nb8c6 Pg2g3 Pd7d6 Bf1g2 Bc8e6
A25,"English Opening: King's English Variation, Taimanov Variation",Pc2c4 Pe7e5 Nb1c3 Nb8c6 Pg2g3 Pg7g6 Bf1g2 Bf8g7
